lambda,seed,residuum,penalty,warmup,mode,split,acc_fine,acc_coarse,exact,consist,soft_viol,epochs,timestamp
0,0,lukasiewicz,linear,3,raw,val,25.3600,38.6800,21.0800,70.9800,0.038140,20,2026-07-19T11:09:11
0,0,lukasiewicz,linear,3,hard,val,25.3600,38.4800,25.3600,100.0000,0.038140,20,2026-07-19T11:09:11
0,0,lukasiewicz,linear,3,marginal,val,25.3600,39.5200,23.1400,82.3600,0.038140,20,2026-07-19T11:09:11
0,0,lukasiewicz,linear,3,raw,test,25.3700,37.9200,21.4300,71.6900,0.037701,20,2026-07-19T11:09:15
0,0,lukasiewicz,linear,3,hard,test,25.3700,38.2600,25.3700,100.0000,0.037701,20,2026-07-19T11:09:15
0,0,lukasiewicz,linear,3,marginal,test,25.3700,38.7600,23.4500,82.8000,0.037701,20,2026-07-19T11:09:15
0,0,lukasiewicz,linear,3,raw,val,24.6600,37.2400,20.3200,70.5400,0.030405,15,2026-07-19T11:30:19
0,0,lukasiewicz,linear,3,hard,val,24.6600,37.4400,24.6600,100.0000,0.030405,15,2026-07-19T11:30:19
0,0,lukasiewicz,linear,3,marginal,val,24.6600,38.1200,22.1400,80.4200,0.030405,15,2026-07-19T11:30:19
1,0,lukasiewicz,linear,3,raw,val,24.3800,37.4400,21.5600,76.5600,0.010655,15,2026-07-19T11:39:47
1,0,lukasiewicz,linear,3,hard,val,24.3800,37.9800,24.3800,100.0000,0.010655,15,2026-07-19T11:39:47
1,0,lukasiewicz,linear,3,marginal,val,24.3800,38.1800,22.1400,81.6000,0.010655,15,2026-07-19T11:39:47
0,1,lukasiewicz,linear,3,raw,val,25.0000,38.0200,21.1400,72.0800,0.037735,20,2026-07-19T22:02:31
0,1,lukasiewicz,linear,3,hard,val,25.0000,38.6000,25.0000,100.0000,0.037735,20,2026-07-19T22:02:31
0,1,lukasiewicz,linear,3,marginal,val,25.0000,39.2000,22.8400,82.7000,0.037735,20,2026-07-19T22:02:31
0,1,lukasiewicz,linear,3,raw,test,25.0200,37.8800,20.6700,70.9200,0.036320,20,2026-07-19T22:02:32
0,1,lukasiewicz,linear,3,hard,test,25.0200,38.3900,25.0200,100.0000,0.036320,20,2026-07-19T22:02:32
0,1,lukasiewicz,linear,3,marginal,test,25.0200,38.5700,22.8400,82.6300,0.036320,20,2026-07-19T22:02:32
0,2,lukasiewicz,linear,3,raw,val,25.1800,37.7800,21.2800,71.6000,0.037859,20,2026-07-19T22:06:22
0,2,lukasiewicz,linear,3,hard,val,25.1800,38.5400,25.1800,100.0000,0.037859,20,2026-07-19T22:06:22
0,2,lukasiewicz,linear,3,marginal,val,25.1800,38.8800,23.2000,82.8800,0.037859,20,2026-07-19T22:06:22
0,2,lukasiewicz,linear,3,raw,test,24.9700,37.1600,20.9300,72.1200,0.038549,20,2026-07-19T22:06:23
0,2,lukasiewicz,linear,3,hard,test,24.9700,38.0900,24.9700,100.0000,0.038549,20,2026-07-19T22:06:23
0,2,lukasiewicz,linear,3,marginal,test,24.9700,38.4500,23.0500,82.8600,0.038549,20,2026-07-19T22:06:23
0,3,lukasiewicz,linear,3,raw,val,24.7800,37.7600,20.6200,70.0800,0.039526,20,2026-07-19T22:10:13
0,3,lukasiewicz,linear,3,hard,val,24.7800,37.7000,24.7800,100.0000,0.039526,20,2026-07-19T22:10:13
0,3,lukasiewicz,linear,3,marginal,val,24.7800,38.0000,22.5400,82.0400,0.039526,20,2026-07-19T22:10:13
0,3,lukasiewicz,linear,3,raw,test,24.7700,37.6300,21.0500,71.6100,0.037365,20,2026-07-19T22:10:14
0,3,lukasiewicz,linear,3,hard,test,24.7700,37.2700,24.7700,100.0000,0.037365,20,2026-07-19T22:10:14
